,Average temperature [°C],Date
0,-17.2,2004-01-01
1,-24.7,2004-01-02
2,-16.9,2004-01-03
3,-5.9,2004-01-04
4,-6.5,2004-01-05
5,-6.4,2004-01-06
6,-4.4,2004-01-07
7,-5.2,2004-01-08
8,-6.3,2004-01-09
9,-12.3,2004-01-10
10,-11.6,2004-01-11
11,-8.2,2004-01-12
12,-2.1,2004-01-13
13,-4.1,2004-01-14
14,-6.4,2004-01-15
15,-7.8,2004-01-16
16,-6.2,2004-01-17
17,-7.4,2004-01-18
18,-17.8,2004-01-19
19,-17.8,2004-01-20
20,-16.4,2004-01-21
21,-14.7,2004-01-22
22,-11.7,2004-01-23
23,-1.6,2004-01-24
24,-8.1,2004-01-25
25,-8.9,2004-01-26
26,-6.2,2004-01-27
27,-7.1,2004-01-28
28,-5.9,2004-01-29
29,-7.9,2004-01-30
30,-5.8,2004-01-31
31,-2.2,2004-02-01
32,-6.7,2004-02-02
33,-4.5,2004-02-03
34,0.7,2004-02-04
35,-2.4,2004-02-05
36,-7.2,2004-02-06
37,-7.6,2004-02-07
38,-13.8,2004-02-08
39,-13.4,2004-02-09
40,-14.9,2004-02-10
41,-17.3,2004-02-11
42,-15.5,2004-02-12
43,-4.3,2004-02-13
44,0.2,2004-02-14
45,-1.9,2004-02-15
46,-4.2,2004-02-16
47,-5.2,2004-02-17
48,-13.7,2004-02-18
49,-14.6,2004-02-19
50,0.3,2004-02-20
51,-0.6,2004-02-21
52,-3,2004-02-22
53,-5.5,2004-02-23
54,-11.3,2004-02-24
55,-4.6,2004-02-25
56,-2.1,2004-02-26
57,-2.1,2004-02-27
58,-3.2,2004-02-28
59,-7.5,2004-02-29
60,-2.5,2004-03-01
61,-4.2,2004-03-02
62,-8.5,2004-03-03
63,-9.9,2004-03-04
64,-9.4,2004-03-05
65,-7.4,2004-03-06
66,-3.7,2004-03-07
67,-2.6,2004-03-08
68,-7.7,2004-03-09
69,-5.4,2004-03-10
70,-2.6,2004-03-11
71,-3.5,2004-03-12
72,-3.5,2004-03-13
73,-2.7,2004-03-14
74,0.3,2004-03-15
75,1.9,2004-03-16
76,0.8,2004-03-17
77,1.5,2004-03-18
78,2.3,2004-03-19
79,0.4,2004-03-20
80,0.5,2004-03-21
81,-0.4,2004-03-22
82,-2.1,2004-03-23
83,-1.3,2004-03-24
84,-1,2004-03-25
85,-1.4,2004-03-26
86,-0.4,2004-03-27
87,1.6,2004-03-28
88,2,2004-03-29
89,3.3,2004-03-30
90,1.2,2004-03-31
91,-4.6,2004-04-01
92,-2.5,2004-04-02
93,0.3,2004-04-03
94,1.2,2004-04-04
95,1.5,2004-04-05
96,2.3,2004-04-06
97,3.5,2004-04-07
98,3.4,2004-04-08
99,4.1,2004-04-09
100,2.5,2004-04-10
101,1.2,2004-04-11
102,1,2004-04-12
103,1.8,2004-04-13
104,2.9,2004-04-14
105,5.9,2004-04-15
106,5.4,2004-04-16
107,7,2004-04-17
108,8.1,2004-04-18
109,8.3,2004-04-19
110,8.9,2004-04-20
111,7.1,2004-04-21
112,3.6,2004-04-22
113,2.4,2004-04-23
114,3.4,2004-04-24
115,3.9,2004-04-25
116,4.6,2004-04-26
117,4.2,2004-04-27
118,4.4,2004-04-28
119,5.7,2004-04-29
120,8.5,2004-04-30
121,9.3,2004-05-01
122,9.3,2004-05-02
123,13,2004-05-03
124,12.7,2004-05-04
125,16.3,2004-05-05
126,18.1,2004-05-06
127,17.3,2004-05-07
128,16.7,2004-05-08
129,15.4,2004-05-09
130,7.4,2004-05-10
131,3.8,2004-05-11
132,1.9,2004-05-12
133,2.7,2004-05-13
134,4.3,2004-05-14
135,4.6,2004-05-15
136,5.1,2004-05-16
137,7.4,2004-05-17
138,7.8,2004-05-18
139,7.8,2004-05-19
140,7.5,2004-05-20
141,6.1,2004-05-21
142,6.7,2004-05-22
143,6.1,2004-05-23
144,8.1,2004-05-24
145,9.8,2004-05-25
146,8.4,2004-05-26
147,10.6,2004-05-27
148,10.8,2004-05-28
149,9.1,2004-05-29
150,7.2,2004-05-30
151,8.1,2004-05-31
152,11.1,2004-06-01
153,11.9,2004-06-02
154,13.8,2004-06-03
155,15.9,2004-06-04
156,16.4,2004-06-05
157,11.7,2004-06-06
158,7.4,2004-06-07
159,8.3,2004-06-08
160,11,2004-06-09
161,11.6,2004-06-10
162,8.8,2004-06-11
163,10.6,2004-06-12
164,15.2,2004-06-13
165,11.5,2004-06-14
166,10.6,2004-06-15
167,9.1,2004-06-16
168,9.8,2004-06-17
169,9.9,2004-06-18
170,11.9,2004-06-19
171,12.4,2004-06-20
172,12.5,2004-06-21
173,14,2004-06-22
174,12.6,2004-06-23
175,12,2004-06-24
176,16,2004-06-25
177,12.4,2004-06-26
178,15,2004-06-27
179,13.8,2004-06-28
180,15.4,2004-06-29
181,14.2,2004-06-30
182,15.2,2004-07-01
183,17.1,2004-07-02
184,15.1,2004-07-03
185,14.4,2004-07-04
186,12.9,2004-07-05
187,13.5,2004-07-06
188,12.7,2004-07-07
189,12.8,2004-07-08
190,15.6,2004-07-09
191,15.1,2004-07-10
192,15.4,2004-07-11
193,15.1,2004-07-12
194,15.5,2004-07-13
195,14.3,2004-07-14
196,14.4,2004-07-15
197,15.4,2004-07-16
198,16.2,2004-07-17
199,16.6,2004-07-18
200,18.7,2004-07-19
201,17.5,2004-07-20
202,16.9,2004-07-21
203,17.9,2004-07-22
204,17.8,2004-07-23
205,18.7,2004-07-24
206,18.3,2004-07-25
207,18.1,2004-07-26
208,18.4,2004-07-27
209,15.6,2004-07-28
210,15,2004-07-29
211,16.2,2004-07-30
212,16.8,2004-07-31
213,17.2,2004-08-01
214,19.1,2004-08-02
215,20.1,2004-08-03
216,20.9,2004-08-04
217,21.2,2004-08-05
218,21.3,2004-08-06
219,20.9,2004-08-07
220,21,2004-08-08
221,17,2004-08-09
222,17.4,2004-08-10
223,16.5,2004-08-11
224,13.7,2004-08-12
225,11.3,2004-08-13
226,9,2004-08-14
227,9.7,2004-08-15
228,11.9,2004-08-16
229,12.6,2004-08-17
230,13.9,2004-08-18
231,12.3,2004-08-19
232,17.6,2004-08-20
233,15.9,2004-08-21
234,15.1,2004-08-22
235,11.1,2004-08-23
236,10.3,2004-08-24
237,9,2004-08-25
238,11.2,2004-08-26
239,13.1,2004-08-27
240,15.1,2004-08-28
241,13.9,2004-08-29
242,12.9,2004-08-30
243,16,2004-08-31
244,15.1,2004-09-01
245,11.7,2004-09-02
246,17.8,2004-09-03
247,15.7,2004-09-04
248,16,2004-09-05
249,13.9,2004-09-06
250,9.8,2004-09-07
251,7.2,2004-09-08
252,7.2,2004-09-09
253,13.3,2004-09-10
254,10.1,2004-09-11
255,11.4,2004-09-12
256,11,2004-09-13
257,12.5,2004-09-14
258,12.4,2004-09-15
259,8.1,2004-09-16
260,7.6,2004-09-17
261,11.5,2004-09-18
262,12.2,2004-09-19
263,11.2,2004-09-20
264,10.7,2004-09-21
265,8.5,2004-09-22
266,8.3,2004-09-23
267,9.3,2004-09-24
268,9.3,2004-09-25
269,10.1,2004-09-26
270,10.2,2004-09-27
271,9.9,2004-09-28
272,8.7,2004-09-29
273,6,2004-09-30
274,3.9,2004-10-01
275,3.4,2004-10-02
276,5.9,2004-10-03
277,7.3,2004-10-04
278,9.8,2004-10-05
279,8.3,2004-10-06
280,8.6,2004-10-07
281,6.4,2004-10-08
282,2.2,2004-10-09
283,0.1,2004-10-10
284,-1.4,2004-10-11
285,3.2,2004-10-12
286,3.4,2004-10-13
287,3.5,2004-10-14
288,0.6,2004-10-15
289,3.9,2004-10-16
290,4.1,2004-10-17
291,6,2004-10-18
292,3.2,2004-10-19
293,1.6,2004-10-20
294,1.9,2004-10-21
295,6.2,2004-10-22
296,6.3,2004-10-23
297,5,2004-10-24
298,3,2004-10-25
299,7.2,2004-10-26
300,4.8,2004-10-27
301,2.2,2004-10-28
302,-1,2004-10-29
303,-2.1,2004-10-30
304,-2.2,2004-10-31
305,2.4,2004-11-01
306,1.1,2004-11-02
307,4,2004-11-03
308,4.9,2004-11-04
309,5.8,2004-11-05
310,4,2004-11-06
311,2.6,2004-11-07
312,4.3,2004-11-08
313,4.8,2004-11-09
314,1.5,2004-11-10
315,3.8,2004-11-11
316,5.8,2004-11-12
317,1.2,2004-11-13
318,-0.8,2004-11-14
319,1.8,2004-11-15
320,-1.4,2004-11-16
321,-4.9,2004-11-17
322,-5.5,2004-11-18
323,-7.7,2004-11-19
324,-5.9,2004-11-20
325,-7,2004-11-21
326,-8.6,2004-11-22
327,-6.6,2004-11-23
328,-8.6,2004-11-24
329,-3.6,2004-11-25
330,-5.3,2004-11-26
331,-8.3,2004-11-27
332,-14.4,2004-11-28
333,-7.2,2004-11-29
334,-4.2,2004-11-30
335,0.7,2004-12-01
336,-0.6,2004-12-02
337,-11.8,2004-12-03
338,-8.2,2004-12-04
339,0.4,2004-12-05
340,-1.1,2004-12-06
341,-0.7,2004-12-07
342,-0.1,2004-12-08
343,-2,2004-12-09
344,-1.7,2004-12-10
345,0.6,2004-12-11
346,-1.7,2004-12-12
347,-7.1,2004-12-13
348,0.5,2004-12-14
349,2.4,2004-12-15
350,0.6,2004-12-16
351,2.7,2004-12-17
352,1.3,2004-12-18
353,-0.3,2004-12-19
354,-4.6,2004-12-20
355,-8.4,2004-12-21
356,-2,2004-12-22
357,-2.7,2004-12-23
358,-4.4,2004-12-24
359,-7.7,2004-12-25
360,-4.6,2004-12-26
361,-4.1,2004-12-27
362,-4.7,2004-12-28
363,-2.7,2004-12-29
364,-0.8,2004-12-30
365,-0.4,2004-12-31
