,Average temperature [°C],Date
0,-24.5,2004-01-01
1,-22.7,2004-01-02
2,-11.2,2004-01-03
3,-11.3,2004-01-04
4,-13.7,2004-01-05
5,-22.3,2004-01-06
6,-11.4,2004-01-07
7,-10.5,2004-01-08
8,-8.5,2004-01-09
9,-15.2,2004-01-10
10,-16.4,2004-01-11
11,-11.4,2004-01-12
12,-6,2004-01-13
13,-6.6,2004-01-14
14,-7.3,2004-01-15
15,-8.6,2004-01-16
16,-11.1,2004-01-17
17,-7.9,2004-01-18
18,-14.3,2004-01-19
19,-22.4,2004-01-20
20,-15.5,2004-01-21
21,-15.8,2004-01-22
22,-15.1,2004-01-23
23,-3,2004-01-24
24,-4.1,2004-01-25
25,-8.9,2004-01-26
26,-7.1,2004-01-27
27,-6.6,2004-01-28
28,-6.6,2004-01-29
29,-8,2004-01-30
30,-5.9,2004-01-31
31,-4.1,2004-02-01
32,-8.8,2004-02-02
33,-5.3,2004-02-03
34,-1.4,2004-02-04
35,-2,2004-02-05
36,-7.7,2004-02-06
37,-12.5,2004-02-07
38,-23.4,2004-02-08
39,-18.9,2004-02-09
40,-18.1,2004-02-10
41,-19,2004-02-11
42,-25.9,2004-02-12
43,-8.5,2004-02-13
44,-4.7,2004-02-14
45,-4.3,2004-02-15
46,-10,2004-02-16
47,-16.5,2004-02-17
48,-19.8,2004-02-18
49,-14.1,2004-02-19
50,-3.5,2004-02-20
51,1.3,2004-02-21
52,-2.7,2004-02-22
53,-5.2,2004-02-23
54,-13.3,2004-02-24
55,-7.4,2004-02-25
56,-4.3,2004-02-26
57,-2.8,2004-02-27
58,-5.7,2004-02-28
59,-11.3,2004-02-29
60,-7.5,2004-03-01
61,-12.4,2004-03-02
62,-9.6,2004-03-03
63,-6,2004-03-04
64,-11.8,2004-03-05
65,-12.3,2004-03-06
66,-8.1,2004-03-07
67,-6.1,2004-03-08
68,-11.8,2004-03-09
69,-8.4,2004-03-10
70,-6.5,2004-03-11
71,-7.4,2004-03-12
72,-7.6,2004-03-13
73,-4.7,2004-03-14
74,0.5,2004-03-15
75,1.2,2004-03-16
76,0.7,2004-03-17
77,-0.3,2004-03-18
78,0.5,2004-03-19
79,1.7,2004-03-20
80,0.5,2004-03-21
81,-1.5,2004-03-22
82,-1.5,2004-03-23
83,-1.9,2004-03-24
84,-2.3,2004-03-25
85,-4.8,2004-03-26
86,-4.8,2004-03-27
87,-0.6,2004-03-28
88,-1.5,2004-03-29
89,-0.3,2004-03-30
90,-4.8,2004-03-31
91,-7.4,2004-04-01
92,-9.7,2004-04-02
93,-3.3,2004-04-03
94,-2.4,2004-04-04
95,-0.1,2004-04-05
96,0.7,2004-04-06
97,0.9,2004-04-07
98,0.6,2004-04-08
99,2,2004-04-09
100,2.2,2004-04-10
101,1,2004-04-11
102,0.6,2004-04-12
103,1.7,2004-04-13
104,-0.3,2004-04-14
105,1.8,2004-04-15
106,3.3,2004-04-16
107,6.7,2004-04-17
108,5.5,2004-04-18
109,6,2004-04-19
110,3.4,2004-04-20
111,0.5,2004-04-21
112,-0.7,2004-04-22
113,-1.3,2004-04-23
114,0,2004-04-24
115,0.9,2004-04-25
116,2.2,2004-04-26
117,4,2004-04-27
118,3.2,2004-04-28
119,5.2,2004-04-29
120,4.5,2004-04-30
121,5.8,2004-05-01
122,7.6,2004-05-02
123,10.8,2004-05-03
124,13.7,2004-05-04
125,14,2004-05-05
126,12.1,2004-05-06
127,13.5,2004-05-07
128,15.6,2004-05-08
129,11.7,2004-05-09
130,0.4,2004-05-10
131,-0.4,2004-05-11
132,0.6,2004-05-12
133,1.3,2004-05-13
134,3.4,2004-05-14
135,5.2,2004-05-15
136,4.8,2004-05-16
137,5.5,2004-05-17
138,6.6,2004-05-18
139,8,2004-05-19
140,7.8,2004-05-20
141,7.7,2004-05-21
142,7.6,2004-05-22
143,6.2,2004-05-23
144,7.5,2004-05-24
145,8.9,2004-05-25
146,10.7,2004-05-26
147,9.5,2004-05-27
148,10.5,2004-05-28
149,10,2004-05-29
150,10.6,2004-05-30
151,6.8,2004-05-31
152,8.8,2004-06-01
153,8.9,2004-06-02
154,9.8,2004-06-03
155,13,2004-06-04
156,15.5,2004-06-05
157,11.3,2004-06-06
158,7.9,2004-06-07
159,8.5,2004-06-08
160,8.7,2004-06-09
161,9.4,2004-06-10
162,11.3,2004-06-11
163,14.2,2004-06-12
164,14.3,2004-06-13
165,10.1,2004-06-14
166,10.3,2004-06-15
167,9.6,2004-06-16
168,9.8,2004-06-17
169,9.3,2004-06-18
170,11.8,2004-06-19
171,13.5,2004-06-20
172,14.5,2004-06-21
173,12.1,2004-06-22
174,13.2,2004-06-23
175,14.4,2004-06-24
176,19.4,2004-06-25
177,19.3,2004-06-26
178,19.5,2004-06-27
179,19.3,2004-06-28
180,18.3,2004-06-29
181,18.9,2004-06-30
182,15.9,2004-07-01
183,17.8,2004-07-02
184,18.3,2004-07-03
185,16.5,2004-07-04
186,16.8,2004-07-05
187,14.6,2004-07-06
188,14.5,2004-07-07
189,15.2,2004-07-08
190,15.2,2004-07-09
191,17,2004-07-10
192,15,2004-07-11
193,14.4,2004-07-12
194,17.8,2004-07-13
195,16.1,2004-07-14
196,16.4,2004-07-15
197,13.9,2004-07-16
198,16.2,2004-07-17
199,16.4,2004-07-18
200,17,2004-07-19
201,17.4,2004-07-20
202,17.3,2004-07-21
203,16.5,2004-07-22
204,16.7,2004-07-23
205,17,2004-07-24
206,17.6,2004-07-25
207,18.7,2004-07-26
208,18.1,2004-07-27
209,16.9,2004-07-28
210,16.1,2004-07-29
211,17,2004-07-30
212,16.8,2004-07-31
213,17.2,2004-08-01
214,18.5,2004-08-02
215,20.1,2004-08-03
216,19.4,2004-08-04
217,18.5,2004-08-05
218,20.1,2004-08-06
219,20.2,2004-08-07
220,18,2004-08-08
221,13.5,2004-08-09
222,12.9,2004-08-10
223,13.4,2004-08-11
224,12.5,2004-08-12
225,10.7,2004-08-13
226,10.9,2004-08-14
227,9.9,2004-08-15
228,10.2,2004-08-16
229,10.8,2004-08-17
230,14.1,2004-08-18
231,11.4,2004-08-19
232,12.2,2004-08-20
233,15,2004-08-21
234,15.8,2004-08-22
235,14.7,2004-08-23
236,9.6,2004-08-24
237,9.9,2004-08-25
238,9,2004-08-26
239,11.3,2004-08-27
240,14.4,2004-08-28
241,15.1,2004-08-29
242,14.7,2004-08-30
243,17,2004-08-31
244,18,2004-09-01
245,17.1,2004-09-02
246,13.8,2004-09-03
247,9.7,2004-09-04
248,12.5,2004-09-05
249,14.5,2004-09-06
250,9.2,2004-09-07
251,5.9,2004-09-08
252,6.3,2004-09-09
253,12.2,2004-09-10
254,9.5,2004-09-11
255,8.2,2004-09-12
256,11,2004-09-13
257,10.3,2004-09-14
258,11.8,2004-09-15
259,9.3,2004-09-16
260,5.5,2004-09-17
261,9.3,2004-09-18
262,10.2,2004-09-19
263,11.6,2004-09-20
264,11.2,2004-09-21
265,10.8,2004-09-22
266,10.1,2004-09-23
267,9.7,2004-09-24
268,9.9,2004-09-25
269,9.4,2004-09-26
270,9.9,2004-09-27
271,10.2,2004-09-28
272,9.7,2004-09-29
273,6.6,2004-09-30
274,4.3,2004-10-01
275,5.8,2004-10-02
276,5.5,2004-10-03
277,6.3,2004-10-04
278,7.3,2004-10-05
279,9.7,2004-10-06
280,8,2004-10-07
281,5.7,2004-10-08
282,0.4,2004-10-09
283,-1.5,2004-10-10
284,-0.3,2004-10-11
285,2,2004-10-12
286,4.2,2004-10-13
287,4.4,2004-10-14
288,2.4,2004-10-15
289,2.9,2004-10-16
290,2.1,2004-10-17
291,4,2004-10-18
292,2.3,2004-10-19
293,1.3,2004-10-20
294,0.7,2004-10-21
295,3.7,2004-10-22
296,5.5,2004-10-23
297,4,2004-10-24
298,3.2,2004-10-25
299,3,2004-10-26
300,5,2004-10-27
301,3.3,2004-10-28
302,-0.8,2004-10-29
303,-5.6,2004-10-30
304,-4.4,2004-10-31
305,2.3,2004-11-01
306,1.4,2004-11-02
307,4.8,2004-11-03
308,2.6,2004-11-04
309,5,2004-11-05
310,3.3,2004-11-06
311,0.6,2004-11-07
312,3.3,2004-11-08
313,5.1,2004-11-09
314,3,2004-11-10
315,3.2,2004-11-11
316,5.5,2004-11-12
317,2.3,2004-11-13
318,-0.6,2004-11-14
319,0.9,2004-11-15
320,-2.7,2004-11-16
321,-8.7,2004-11-17
322,-7,2004-11-18
323,-9.2,2004-11-19
324,-11.4,2004-11-20
325,-13.3,2004-11-21
326,-10.9,2004-11-22
327,-7.9,2004-11-23
328,-8.7,2004-11-24
329,-5,2004-11-25
330,-3.8,2004-11-26
331,-8.1,2004-11-27
332,-18.9,2004-11-28
333,-19.5,2004-11-29
334,-8,2004-11-30
335,-2.5,2004-12-01
336,-4.8,2004-12-02
337,-21.3,2004-12-03
338,-18.1,2004-12-04
339,-4.9,2004-12-05
340,-3.3,2004-12-06
341,-3.7,2004-12-07
342,-3,2004-12-08
343,-6.7,2004-12-09
344,-6.7,2004-12-10
345,-2.3,2004-12-11
346,-9.8,2004-12-12
347,-13.5,2004-12-13
348,-6.8,2004-12-14
349,1.4,2004-12-15
350,-1,2004-12-16
351,1.2,2004-12-17
352,0.9,2004-12-18
353,-0.4,2004-12-19
354,-3.7,2004-12-20
355,-6.8,2004-12-21
356,-6.2,2004-12-22
357,-3.6,2004-12-23
358,-4.9,2004-12-24
359,-12.9,2004-12-25
360,-8.8,2004-12-26
361,-3.3,2004-12-27
362,-10.6,2004-12-28
363,-9.8,2004-12-29
364,-0.2,2004-12-30
365,-0.1,2004-12-31
366,-2.9,2005-01-01
367,-0.8,2005-01-02
368,-1.8,2005-01-03
369,-2,2005-01-04
370,-4.2,2005-01-05
371,-5,2005-01-06
372,-2.6,2005-01-07
373,0,2005-01-08
374,-1.7,2005-01-09
375,-8.2,2005-01-10
376,-0.6,2005-01-11
377,-1.8,2005-01-12
378,1.9,2005-01-13
379,-1.5,2005-01-14
380,-10.5,2005-01-15
381,-8.5,2005-01-16
382,-0.1,2005-01-17
383,0.3,2005-01-18
384,-2,2005-01-19
385,-2.7,2005-01-20
386,-2.5,2005-01-21
387,-6.1,2005-01-22
388,-8.4,2005-01-23
389,-6,2005-01-24
390,-4.3,2005-01-25
391,-9.3,2005-01-26
392,-12.7,2005-01-27
393,-17.9,2005-01-28
394,-11.3,2005-01-29
395,-10.4,2005-01-30
396,-5.9,2005-01-31
397,-8.9,2005-02-01
398,-12.2,2005-02-02
399,-7.3,2005-02-03
400,-4.6,2005-02-04
401,-2,2005-02-05
402,-5,2005-02-06
403,-5,2005-02-07
404,-5.3,2005-02-08
405,-6.8,2005-02-09
406,-5.4,2005-02-10
407,-0.8,2005-02-11
408,-2.2,2005-02-12
409,-3.3,2005-02-13
410,-9.8,2005-02-14
411,-11.4,2005-02-15
412,-15.6,2005-02-16
413,-10.3,2005-02-17
414,-9.4,2005-02-18
415,-7.5,2005-02-19
416,-8.4,2005-02-20
417,-12,2005-02-21
418,-15.9,2005-02-22
419,-20.5,2005-02-23
420,-13.7,2005-02-24
421,-8.5,2005-02-25
422,-15.1,2005-02-26
423,-15.3,2005-02-27
424,-19.2,2005-02-28
425,-19.4,2005-03-01
426,-16.9,2005-03-02
427,-10.5,2005-03-03
428,-10.8,2005-03-04
429,-12.1,2005-03-05
430,-13.3,2005-03-06
431,-8.1,2005-03-07
432,-7.5,2005-03-08
433,-11.9,2005-03-09
434,-17.7,2005-03-10
435,-14.2,2005-03-11
436,-10.9,2005-03-12
437,-13.9,2005-03-13
438,-11.7,2005-03-14
439,-12.4,2005-03-15
