,Average temperature [°C],Date
0,-27.3,2004-01-01
1,-30,2004-01-02
2,-20.5,2004-01-03
3,-15.2,2004-01-04
4,-19.3,2004-01-05
5,-16.5,2004-01-06
6,-8.4,2004-01-07
7,-4.2,2004-01-08
8,-6.4,2004-01-09
9,-9.4,2004-01-10
10,-5.4,2004-01-11
11,-6.6,2004-01-12
12,-9.3,2004-01-13
13,-3.7,2004-01-14
14,-4.9,2004-01-15
15,-7,2004-01-16
16,-13.4,2004-01-17
17,-15.2,2004-01-18
18,-11.7,2004-01-19
19,-11.5,2004-01-20
20,-16.2,2004-01-21
21,-23.1,2004-01-22
22,-7.7,2004-01-23
23,-4.8,2004-01-24
24,-1.7,2004-01-25
25,-6.1,2004-01-26
26,-6.6,2004-01-27
27,-10.6,2004-01-28
28,-12.3,2004-01-29
29,-12.1,2004-01-30
30,-14.2,2004-01-31
31,-12.9,2004-02-01
32,-14,2004-02-02
33,-11.6,2004-02-03
34,-13.7,2004-02-04
35,-8.6,2004-02-05
36,-13.6,2004-02-06
37,-26.9,2004-02-07
38,-22.8,2004-02-08
39,-17,2004-02-09
40,-20.6,2004-02-10
41,-18.5,2004-02-11
42,-13.6,2004-02-12
43,-12.9,2004-02-13
44,-2.8,2004-02-14
45,-2.7,2004-02-15
46,-10.1,2004-02-16
47,-9.5,2004-02-17
48,-10.7,2004-02-18
49,-7.9,2004-02-19
50,4,2004-02-20
51,-2.5,2004-02-21
52,-7.2,2004-02-22
53,-17.8,2004-02-23
54,-16.8,2004-02-24
55,-12.3,2004-02-25
56,-11.5,2004-02-26
57,-15.6,2004-02-27
58,-24,2004-02-28
59,-21.4,2004-02-29
60,-11.3,2004-03-01
61,-8.7,2004-03-02
62,-10.6,2004-03-03
63,-16.2,2004-03-04
64,-14.5,2004-03-05
65,-9.7,2004-03-06
66,-8.2,2004-03-07
67,-8,2004-03-08
68,-4.7,2004-03-09
69,-0.4,2004-03-10
70,-0.2,2004-03-11
71,-6.8,2004-03-12
72,-5.4,2004-03-13
73,-6.1,2004-03-14
74,-0.4,2004-03-15
75,-1.1,2004-03-16
76,-5.5,2004-03-17
77,-1.4,2004-03-18
78,-0.3,2004-03-19
79,0.2,2004-03-20
80,-2.1,2004-03-21
81,-8,2004-03-22
82,-6.7,2004-03-23
83,-7.5,2004-03-24
84,-8.7,2004-03-25
85,-8.5,2004-03-26
86,-5.9,2004-03-27
87,-3.5,2004-03-28
88,-7.9,2004-03-29
89,-4.6,2004-03-30
90,-6.3,2004-03-31
91,-7.7,2004-04-01
92,-5.2,2004-04-02
93,-4.7,2004-04-03
94,-5.2,2004-04-04
95,-1.8,2004-04-05
96,-0.9,2004-04-06
97,-0.1,2004-04-07
98,2,2004-04-08
99,0.6,2004-04-09
100,-1.6,2004-04-10
101,-3.3,2004-04-11
102,0.3,2004-04-12
103,-1.7,2004-04-13
104,-0.1,2004-04-14
105,1.5,2004-04-15
106,2.6,2004-04-16
107,3.1,2004-04-17
108,4,2004-04-18
109,3.4,2004-04-19
110,-1.4,2004-04-20
111,-2.5,2004-04-21
112,-3.2,2004-04-22
113,-1.8,2004-04-23
114,-1.8,2004-04-24
115,0,2004-04-25
116,4.8,2004-04-26
117,4.8,2004-04-27
118,6.3,2004-04-28
119,6.5,2004-04-29
120,12.7,2004-05-06
121,14.3,2004-05-07
122,15.6,2004-05-08
123,4.2,2004-05-09
124,0.9,2004-05-10
125,-0.6,2004-05-11
126,0.3,2004-05-12
127,1.2,2004-05-13
128,1.5,2004-05-14
129,1.9,2004-05-15
130,2.7,2004-05-16
131,3.3,2004-05-17
132,5.4,2004-05-18
133,8,2004-05-19
134,7.5,2004-05-20
135,4.4,2004-05-21
136,3.5,2004-05-22
137,3.9,2004-05-23
138,3.8,2004-05-24
139,4.4,2004-05-25
140,5.5,2004-05-26
141,7.5,2004-05-27
142,8.4,2004-05-28
143,5.7,2004-05-29
144,7.1,2004-05-30
145,8.2,2004-05-31
146,5.9,2004-06-01
147,7.6,2004-06-02
148,9.8,2004-06-03
149,7.8,2004-06-04
150,5.7,2004-06-05
151,4.5,2004-06-06
152,4.3,2004-06-07
153,5.6,2004-06-08
154,7.5,2004-06-09
155,8.9,2004-06-10
156,10.8,2004-06-11
157,9,2004-06-14
158,8.3,2004-06-15
159,5.4,2004-06-16
160,7.3,2004-06-17
161,9.6,2004-06-18
162,11.3,2004-06-19
163,13.5,2004-06-20
164,12.4,2004-06-21
165,15.4,2004-06-22
166,14.9,2004-06-23
167,15.1,2004-06-24
168,13,2004-06-25
169,16.7,2004-06-26
170,16.6,2004-06-27
171,11.8,2004-06-28
172,7.9,2004-06-29
173,14.5,2004-06-30
174,20.9,2004-07-01
175,17.2,2004-07-02
176,14.6,2004-07-03
177,15.2,2004-07-04
178,16.4,2004-07-05
179,17.1,2004-07-06
180,16.3,2004-07-07
181,14.6,2004-07-08
182,12.5,2004-07-09
183,14.3,2004-07-10
184,13.7,2004-07-11
185,15.9,2004-07-12
186,15,2004-07-13
187,14.9,2004-07-14
188,14.4,2004-07-15
189,14.2,2004-07-16
190,15.4,2004-07-17
191,17.7,2004-07-20
192,12.1,2004-07-21
193,14.6,2004-07-22
194,17.6,2004-07-23
195,17,2004-07-24
196,17.4,2004-07-25
197,18.4,2004-07-26
198,15.8,2004-07-27
199,15.7,2004-07-28
200,14.4,2004-07-29
201,16.7,2004-07-30
202,18.5,2004-07-31
203,17.5,2004-08-01
204,17.1,2004-08-02
205,16,2004-08-03
206,18.3,2004-08-04
207,18.2,2004-08-05
208,19.3,2004-08-06
209,18.5,2004-08-07
210,16.2,2004-08-08
211,13.7,2004-08-09
212,13.6,2004-08-10
213,11.7,2004-08-11
214,9.5,2004-08-12
215,7.5,2004-08-13
216,6.3,2004-08-14
217,8.4,2004-08-15
218,8.7,2004-08-16
219,8.1,2004-08-17
220,9.1,2004-08-18
221,10.2,2004-08-19
222,8.1,2004-08-20
223,13.3,2004-08-21
224,14.1,2004-08-22
225,8,2004-08-23
226,7.4,2004-08-24
227,7.8,2004-08-25
228,7.6,2004-08-26
229,7.5,2004-08-27
230,9.3,2004-08-28
231,12.1,2004-08-29
232,12.9,2004-08-30
233,11.9,2004-08-31
234,11.6,2004-09-01
235,13.1,2004-09-02
236,12.7,2004-09-03
237,12.6,2004-09-04
238,13.5,2004-09-05
239,9.9,2004-09-06
240,7,2004-09-07
241,3.9,2004-09-08
242,4.7,2004-09-09
243,10.3,2004-09-10
244,6.3,2004-09-11
245,3.9,2004-09-12
246,4.3,2004-09-13
247,1.5,2004-09-14
248,3.3,2004-09-15
249,4.4,2004-09-16
250,3.4,2004-09-17
251,1.8,2004-09-18
252,5.1,2004-09-19
253,8.2,2004-09-20
254,9.3,2004-09-21
255,8.8,2004-09-22
256,8.9,2004-09-23
257,7.2,2004-09-24
258,8.3,2004-09-25
259,7.8,2004-09-26
260,6.7,2004-09-27
261,5.7,2004-09-28
262,5.7,2004-09-29
263,6,2004-09-30
264,3.5,2004-10-01
265,1.1,2004-10-02
266,6.3,2004-10-03
267,6.5,2004-10-04
268,7.2,2004-10-05
269,5.1,2004-10-06
270,2.5,2004-10-07
271,-1.9,2004-10-08
272,-2.4,2004-10-09
273,-2.2,2004-10-10
274,-3.3,2004-10-11
275,1.7,2004-10-12
276,2.3,2004-10-13
277,-0.2,2004-10-14
278,0.5,2004-10-15
279,0.3,2004-10-16
280,-4.3,2004-10-17
281,-6,2004-10-18
282,-0.5,2004-10-19
283,-1.3,2004-10-20
284,-0.4,2004-10-21
285,0.1,2004-10-22
286,-2,2004-10-25
287,-2,2004-10-26
288,-0.5,2004-10-27
289,-2,2004-10-28
290,-7.4,2004-10-29
291,-8.2,2004-10-30
292,0.6,2004-10-31
293,0.4,2004-11-01
294,0.4,2004-11-02
295,4.6,2004-11-03
296,0.1,2004-11-04
297,-1,2004-11-07
298,-0.7,2004-11-08
299,-2.8,2004-11-09
300,0.7,2004-11-10
301,1.9,2004-11-11
302,0.4,2004-11-12
303,-5.3,2004-11-13
304,-8.3,2004-11-14
305,-4.5,2004-11-15
306,-7.4,2004-11-16
307,-19.7,2004-11-17
308,-24.1,2004-11-18
309,-18.7,2004-11-19
310,-17.2,2004-11-20
311,-22,2004-11-21
312,-29.3,2004-11-22
313,-30.1,2004-11-23
314,-17.8,2004-11-24
315,-5.5,2004-11-25
316,-6.4,2004-11-26
317,-12.3,2004-11-27
318,-23.4,2004-11-28
319,-22.5,2004-11-29
320,-7.4,2004-11-30
321,-8.7,2004-12-01
322,-21.3,2004-12-02
323,-16.3,2004-12-03
324,-5.3,2004-12-04
325,-6.6,2004-12-05
326,-18.4,2004-12-06
327,-5.9,2004-12-07
328,-6,2004-12-08
329,-9.7,2004-12-09
330,-4,2004-12-10
331,-6.5,2004-12-11
332,-7.7,2004-12-12
333,-16.6,2004-12-13
334,-2.1,2004-12-14
335,0.4,2004-12-15
336,-5.4,2004-12-16
337,-0.3,2004-12-17
338,0.5,2004-12-18
339,-2.9,2004-12-19
340,-7,2004-12-20
341,-15,2004-12-21
342,-3.4,2004-12-22
343,-8.9,2004-12-23
344,-7.8,2004-12-24
345,-5.6,2004-12-25
346,-6.1,2004-12-26
347,-14.9,2004-12-27
348,-5.9,2004-12-28
349,-3.6,2004-12-29
350,-1.3,2004-12-30
351,-1.1,2004-12-31
352,-8.7,2005-01-01
353,-3,2005-01-02
354,-3.7,2005-01-03
355,-6.3,2005-01-04
356,-6.5,2005-01-05
357,-6.1,2005-01-06
358,-7.5,2005-01-07
359,-7.1,2005-01-08
360,-8.5,2005-01-09
361,-8.9,2005-01-10
362,-3.4,2005-01-11
363,-4.9,2005-01-12
364,-3.7,2005-01-13
365,-8.2,2005-01-14
366,-14.5,2005-01-15
367,-21.4,2005-01-16
368,-5.8,2005-01-17
369,0.3,2005-01-18
370,0.1,2005-01-19
371,-2.1,2005-01-20
372,-4.5,2005-01-21
373,-7.8,2005-01-22
374,-8.7,2005-01-23
375,-9.9,2005-01-24
376,-9.1,2005-01-25
377,-11,2005-01-26
378,-12.8,2005-01-27
379,-11.5,2005-01-28
380,-18.3,2005-01-29
381,-5,2005-01-30
382,-4.8,2005-01-31
383,-4.2,2005-02-03
384,-0.8,2005-02-04
385,-3.4,2005-02-05
386,-7.3,2005-02-06
387,-13.7,2005-02-07
388,-6.2,2005-02-08
389,-4.2,2005-02-09
390,-3,2005-02-10
391,-6.1,2005-02-11
392,-12.6,2005-02-12
393,-13.7,2005-02-13
394,-19.4,2005-02-14
395,-24.6,2005-02-15
396,-19.3,2005-02-16
397,-10,2005-02-17
398,-8.4,2005-02-18
399,-7.7,2005-02-19
400,-8.2,2005-02-20
401,-15.1,2005-02-21
402,-25.8,2005-02-22
403,-16.4,2005-02-23
404,-5.4,2005-02-24
405,-9,2005-02-25
406,-10.4,2005-02-26
407,-12.5,2005-02-27
408,-20.2,2005-02-28
409,-16.5,2005-03-01
410,-16.3,2005-03-02
411,-11.8,2005-03-03
412,-11.7,2005-03-04
413,-6.1,2005-03-05
414,-4.7,2005-03-06
415,-6.5,2005-03-07
416,-12.3,2005-03-08
417,-12.9,2005-03-09
418,-9.9,2005-03-10
419,-11.9,2005-03-11
420,-18.2,2005-03-12
421,-20.3,2005-03-13
422,-21.8,2005-03-14
423,-21.2,2005-03-15
424,-17.2,2005-03-16
425,-11.1,2005-03-17
426,-9.5,2005-03-18
427,-8.1,2005-03-19
428,-7.4,2005-03-20
429,-7.1,2005-03-21
430,-10.9,2005-03-22
431,-5.5,2005-03-23
432,1.6,2005-03-24
433,1.4,2005-03-25
434,-1,2005-03-26
435,-1.3,2005-03-27
436,-1.3,2005-03-28
437,-2.6,2005-03-29
438,2.3,2005-03-30
439,1.5,2005-03-31
440,3,2005-04-01
441,2.9,2005-04-02
442,-3.1,2005-04-03
443,2,2005-04-04
444,0.4,2005-04-05
445,1.7,2005-04-06
446,-0.5,2005-04-07
447,0.4,2005-04-08
448,0.4,2005-04-09
449,0.3,2005-04-10
450,0.5,2005-04-11
451,-0.9,2005-04-12
452,-1.8,2005-04-13
453,-1.1,2005-04-14
454,2.1,2005-04-15
455,0,2005-04-16
456,-1.1,2005-04-17
457,-1.8,2005-04-18
458,-4.5,2005-04-19
459,-2.6,2005-04-20
460,-1.2,2005-04-21
461,-1.2,2005-04-22
462,0.3,2005-04-23
463,3.3,2005-04-24
464,4,2005-04-25
465,4.9,2005-04-26
466,4.1,2005-04-27
467,2.4,2005-04-28
468,0.9,2005-04-29
469,0.6,2005-04-30
470,-1.3,2005-05-01
471,-1.4,2005-05-02
472,-0.6,2005-05-03
473,0.7,2005-05-04
474,-1,2005-05-05
475,-0.7,2005-05-06
476,1.6,2005-05-07
477,1.1,2005-05-08
478,0.4,2005-05-09
479,4,2005-05-10
480,2.3,2005-05-11
481,5.3,2005-05-12
482,5.3,2005-05-13
483,3.2,2005-05-14
484,2.5,2005-05-15
485,4.5,2005-05-16
486,2.5,2005-05-17
487,5.4,2005-05-18
488,5.5,2005-05-19
489,5.9,2005-05-20
490,5.4,2005-05-21
491,8,2005-05-22
492,11,2005-05-23
493,8.9,2005-05-24
494,9.5,2005-05-25
495,10.6,2005-05-26
496,5.6,2005-05-27
497,4.7,2005-05-28
498,3.9,2005-05-29
499,3.9,2005-05-30
500,6.6,2005-05-31
501,6,2005-06-01
502,6.6,2005-06-02
503,8.9,2005-06-03
504,12,2005-06-04
505,11.5,2005-06-05
506,9,2005-06-06
507,5.4,2005-06-07
508,7.9,2005-06-08
509,13.1,2005-06-09
510,14.5,2005-06-10
511,15.5,2005-06-11
512,18.6,2005-06-12
513,20,2005-06-13
514,11.3,2005-06-14
515,13,2005-06-15
516,13.3,2005-06-16
517,16.2,2005-06-17
518,15.8,2005-06-18
519,15,2005-06-19
520,17,2005-06-20
521,14.8,2005-06-21
522,14.2,2005-06-22
523,15.6,2005-06-23
524,12.6,2005-06-24
525,10.4,2005-06-25
526,11.2,2005-06-26
527,12,2005-06-27
528,11.6,2005-06-28
529,11.4,2005-06-29
530,13.9,2005-06-30
531,16.8,2005-07-01
532,18.7,2005-07-02
533,20.5,2005-07-03
534,21.7,2005-07-04
535,20.2,2005-07-05
536,18.1,2005-07-06
537,19.1,2005-07-07
538,20.8,2005-07-08
539,22.5,2005-07-09
540,21.5,2005-07-10
541,15.4,2005-07-11
542,18.2,2005-07-12
543,14.7,2005-07-13
544,13.3,2005-07-14
545,14.8,2005-07-15
546,14.7,2005-07-16
547,15.8,2005-07-17
548,19.1,2005-07-18
549,21.3,2005-07-19
550,12.8,2005-07-20
551,8.9,2005-07-21
552,13.2,2005-07-22
553,10,2005-07-23
554,12.2,2005-07-24
555,14.9,2005-07-25
556,16,2005-07-26
557,16.5,2005-07-27
558,12.4,2005-07-28
559,7.9,2005-07-29
560,9.6,2005-07-30
561,10.2,2005-07-31
562,11.6,2005-08-01
563,10.1,2005-08-02
564,11.2,2005-08-03
565,13.6,2005-08-04
566,13.1,2005-08-05
567,13.4,2005-08-06
568,12.9,2005-08-07
569,13.3,2005-08-08
570,15.7,2005-08-09
571,19,2005-08-10
572,16.7,2005-08-11
