,Average temperature [°C],Date
0,-10.4,2004-01-01
1,-16.0,2004-01-02
2,-20.9,2004-01-03
3,-8.8,2004-01-04
4,-6.9,2004-01-05
5,-8.3,2004-01-06
6,-3.9,2004-01-07
7,-5.5,2004-01-08
8,-6.6,2004-01-09
9,-10.7,2004-01-10
10,-10.0,2004-01-11
11,-7.2,2004-01-12
12,-1.2,2004-01-13
13,-4.1,2004-01-14
14,-5.1,2004-01-15
15,-8.4,2004-01-16
16,-6.7,2004-01-17
17,-5.4,2004-01-18
18,-10.5,2004-01-19
19,-15.4,2004-01-20
20,-16.6,2004-01-21
21,-13.9,2004-01-22
22,-15.5,2004-01-23
23,-2.3,2004-01-24
24,-7.7,2004-01-25
25,-7.8,2004-01-26
26,-6.0,2004-01-27
27,-5.9,2004-01-28
28,-4.8,2004-01-29
29,-5.3,2004-01-30
30,-5.1,2004-01-31
31,-1.5,2004-02-01
32,-5.4,2004-02-02
33,-3.4,2004-02-03
34,1.1,2004-02-04
35,-0.1,2004-02-05
36,-6.5,2004-02-06
37,-5.8,2004-02-07
38,-11.9,2004-02-08
39,-10.1,2004-02-09
40,-14.2,2004-02-10
41,-14.9,2004-02-11
42,-16.0,2004-02-12
43,-4.7,2004-02-13
44,0.8,2004-02-14
45,-0.8,2004-02-15
46,-4.1,2004-02-16
47,-6.1,2004-02-17
48,-12.0,2004-02-18
49,-14.4,2004-02-19
50,-0.6,2004-02-20
51,-0.2,2004-02-21
52,-3.0,2004-02-22
53,-6.5,2004-02-23
54,-7.3,2004-02-24
55,-4.1,2004-02-25
56,-1.4,2004-02-26
57,-2.1,2004-02-27
58,-5.8,2004-02-28
59,-6.9,2004-02-29
60,-2.8,2004-03-01
61,-2.2,2004-03-02
62,-6.6,2004-03-03
63,-7.7,2004-03-04
64,-11.0,2004-03-05
65,-8.5,2004-03-06
66,-6.0,2004-03-07
67,-0.6,2004-03-08
68,-5.6,2004-03-09
69,-6.9,2004-03-10
70,-3.3,2004-03-11
71,-2.9,2004-03-12
72,-4.2,2004-03-13
73,-4.2,2004-03-14
74,0.5,2004-03-15
75,2.3,2004-03-16
76,0.8,2004-03-17
77,1.5,2004-03-18
78,1.4,2004-03-19
79,0.6,2004-03-20
80,1.0,2004-03-21
81,0.6,2004-03-22
82,-0.5,2004-03-23
83,0.9,2004-03-24
84,0.1,2004-03-25
85,-1.6,2004-03-26
86,-1.6,2004-03-27
87,2.1,2004-03-28
88,1.7,2004-03-29
89,3.8,2004-03-30
90,2.5,2004-03-31
91,-3.5,2004-04-01
92,-3.7,2004-04-02
93,-0.5,2004-04-03
94,0.0,2004-04-04
95,1.6,2004-04-05
96,1.9,2004-04-06
97,3.6,2004-04-07
98,3.6,2004-04-08
99,3.0,2004-04-09
100,1.8,2004-04-10
101,1.5,2004-04-11
102,2.7,2004-04-12
103,2.4,2004-04-13
104,2.6,2004-04-14
105,7.0,2004-04-15
106,4.2,2004-04-16
107,6.4,2004-04-17
