,Average temperature [°C],Date
0,-7.2,2004-01-01
1,-11.9,2004-01-02
2,-10.2,2004-01-03
3,-4.4,2004-01-04
4,-3.2,2004-01-05
5,-3.4,2004-01-06
6,-2.4,2004-01-07
7,-4.2,2004-01-08
8,-5.0,2004-01-09
9,-7.1,2004-01-10
10,-5.9,2004-01-11
11,-3.9,2004-01-12
12,0.5,2004-01-13
13,-2.3,2004-01-14
14,-4.0,2004-01-15
15,-8.3,2004-01-16
16,-2.3,2004-01-17
17,-4.4,2004-01-18
18,-5.5,2004-01-19
19,-11.6,2004-01-20
20,-15.6,2004-01-21
21,-13.0,2004-01-22
22,-9.1,2004-01-23
23,-2.2,2004-01-24
24,-6.6,2004-01-25
25,-4.5,2004-01-26
26,-4.3,2004-01-27
27,-3.7,2004-01-28
28,-3.5,2004-01-29
29,-3.8,2004-01-30
30,-3.4,2004-01-31
31,-0.5,2004-02-01
32,-2.8,2004-02-02
33,-1.9,2004-02-03
34,1.5,2004-02-04
35,0.8,2004-02-05
36,-3.1,2004-02-06
37,-3.5,2004-02-07
38,-7.4,2004-02-08
39,-7.7,2004-02-09
40,-12.3,2004-02-10
41,-13.6,2004-02-11
42,-12.9,2004-02-12
43,-2.2,2004-02-13
44,1.4,2004-02-14
45,-0.4,2004-02-15
46,-2.0,2004-02-16
47,-1.3,2004-02-17
48,-9.5,2004-02-18
49,-10.9,2004-02-19
50,-0.1,2004-02-20
51,0.6,2004-02-21
52,-2.1,2004-02-22
53,-4.8,2004-02-23
54,-6.8,2004-02-24
55,-1.4,2004-02-25
56,-0.3,2004-02-26
57,-1.1,2004-02-27
58,-5.0,2004-02-28
59,-6.7,2004-02-29
60,-1.9,2004-03-01
61,-1.8,2004-03-02
62,-5.1,2004-03-03
63,-6.5,2004-03-04
64,-6.3,2004-03-05
65,-6.6,2004-03-06
66,-4.5,2004-03-07
67,1.1,2004-03-08
68,-0.4,2004-03-09
69,-4.1,2004-03-10
70,-3.0,2004-03-11
71,-1.5,2004-03-12
72,-2.3,2004-03-13
73,-0.2,2004-03-14
74,0.8,2004-03-15
75,2.3,2004-03-16
76,1.7,2004-03-17
77,2.4,2004-03-18
78,2.3,2004-03-19
79,1.8,2004-03-20
80,1.0,2004-03-21
81,1.1,2004-03-22
82,0.8,2004-03-23
83,0.6,2004-03-24
84,0.7,2004-03-25
85,-0.4,2004-03-26
86,-1.3,2004-03-27
87,2.9,2004-03-28
88,1.3,2004-03-29
89,4.4,2004-03-30
90,3.8,2004-03-31
91,-1.6,2004-04-01
92,-1.9,2004-04-02
93,0.2,2004-04-03
94,1.5,2004-04-04
95,2.4,2004-04-05
96,4.1,2004-04-06
97,5.2,2004-04-07
98,5.3,2004-04-08
99,4.1,2004-04-09
100,3.7,2004-04-10
101,2.9,2004-04-11
102,3.7,2004-04-12
103,3.9,2004-04-13
104,3.6,2004-04-14
105,8.6,2004-04-15
106,3.6,2004-04-16
107,6.9,2004-04-17
108,9.5,2004-04-18
109,8.6,2004-04-19
110,8.9,2004-04-20
111,10.2,2004-04-21
112,5.7,2004-04-22
113,4.1,2004-04-23
114,4.7,2004-04-24
115,5.5,2004-04-25
116,5.0,2004-04-26
117,5.3,2004-04-27
118,5.5,2004-04-28
119,7.4,2004-04-29
120,9.3,2004-04-30
121,10.4,2004-05-01
122,9.3,2004-05-02
123,12.3,2004-05-03
124,12.3,2004-05-04
125,14.4,2004-05-05
126,17.3,2004-05-06
127,18.0,2004-05-07
128,18.4,2004-05-08
129,17.1,2004-05-09
130,13.3,2004-05-10
131,6.5,2004-05-11
132,4.8,2004-05-12
133,5.2,2004-05-13
134,5.8,2004-05-14
135,8.4,2004-05-15
136,8.3,2004-05-16
137,8.3,2004-05-17
138,8.7,2004-05-18
139,8.4,2004-05-19
140,9.4,2004-05-20
141,8.8,2004-05-21
142,8.0,2004-05-22
143,6.8,2004-05-23
144,7.7,2004-05-24
145,9.4,2004-05-25
146,11.7,2004-05-26
147,11.7,2004-05-27
148,12.4,2004-05-28
149,9.6,2004-05-29
150,8.3,2004-05-30
151,9.3,2004-05-31
152,12.2,2004-06-01
153,13.3,2004-06-02
154,13.4,2004-06-03
155,15.4,2004-06-04
156,15.4,2004-06-05
157,14.0,2004-06-06
158,11.6,2004-06-07
159,10.8,2004-06-08
160,12.7,2004-06-09
161,12.8,2004-06-10
162,10.4,2004-06-11
163,12.1,2004-06-12
164,16.1,2004-06-13
165,13.7,2004-06-14
166,13.2,2004-06-15
167,11.1,2004-06-16
168,11.1,2004-06-17
169,11.9,2004-06-18
170,12.2,2004-06-19
171,13.0,2004-06-20
172,13.1,2004-06-21
173,14.3,2004-06-22
174,13.5,2004-06-23
175,12.6,2004-06-24
176,15.5,2004-06-25
177,15.3,2004-06-26
178,14.3,2004-06-27
179,14.7,2004-06-28
180,16.2,2004-06-29
181,14.0,2004-06-30
182,14.3,2004-07-01
183,15.6,2004-07-02
184,13.0,2004-07-03
185,14.9,2004-07-04
186,14.8,2004-07-05
187,14.5,2004-07-06
188,14.1,2004-07-07
189,15.1,2004-07-08
190,16.1,2004-07-09
191,15.9,2004-07-10
192,15.7,2004-07-11
193,15.8,2004-07-12
194,16.3,2004-07-13
195,16.4,2004-07-14
196,15.6,2004-07-15
197,16.9,2004-07-16
198,17.3,2004-07-17
199,17.6,2004-07-18
200,19.1,2004-07-19
201,18.2,2004-07-20
202,18.2,2004-07-21
203,19.8,2004-07-22
204,19.7,2004-07-23
205,19.6,2004-07-24
206,18.8,2004-07-25
207,17.1,2004-07-26
208,18.1,2004-07-27
209,16.6,2004-07-28
210,15.8,2004-07-29
211,17.4,2004-07-30
212,17.3,2004-07-31
213,17.9,2004-08-01
214,20.7,2004-08-02
215,21.4,2004-08-03
216,21.5,2004-08-04
217,21.4,2004-08-05
218,21.9,2004-08-06
219,22.0,2004-08-07
220,22.4,2004-08-08
221,19.7,2004-08-09
222,18.3,2004-08-10
223,17.6,2004-08-11
224,15.9,2004-08-12
225,14.7,2004-08-13
226,11.7,2004-08-14
227,12.9,2004-08-15
228,15.7,2004-08-16
229,15.6,2004-08-17
230,16.7,2004-08-18
231,15.9,2004-08-19
232,19.3,2004-08-20
233,18.1,2004-08-21
234,17.1,2004-08-22
235,14.2,2004-08-23
236,13.7,2004-08-24
237,13.2,2004-08-25
238,14.0,2004-08-26
239,16.3,2004-08-27
240,16.4,2004-08-28
241,16.2,2004-08-29
242,16.6,2004-08-30
243,17.5,2004-08-31
244,15.3,2004-09-01
245,14.7,2004-09-02
246,17.9,2004-09-03
247,15.0,2004-09-04
248,15.5,2004-09-05
249,16.9,2004-09-06
250,11.9,2004-09-07
251,9.4,2004-09-08
252,9.1,2004-09-09
253,14.0,2004-09-10
254,14.5,2004-09-11
255,15.2,2004-09-12
256,14.9,2004-09-13
257,14.5,2004-09-14
258,14.0,2004-09-15
259,10.0,2004-09-16
260,10.5,2004-09-17
261,13.1,2004-09-18
262,13.0,2004-09-19
263,13.2,2004-09-20
264,12.0,2004-09-21
265,11.0,2004-09-22
266,10.5,2004-09-23
267,11.4,2004-09-24
268,11.2,2004-09-25
269,11.7,2004-09-26
270,11.7,2004-09-27
271,11.2,2004-09-28
272,11.2,2004-09-29
273,9.4,2004-09-30
274,7.8,2004-10-01
