,Average temperature [°C],Date
0,-29.6,2004-01-01
1,-22.0,2004-01-02
2,-18.9,2004-01-03
3,-14.7,2004-01-04
4,-15.5,2004-01-05
5,-15.2,2004-01-06
6,-10.1,2004-01-07
7,-2.8,2004-01-08
8,-3.6,2004-01-09
9,-4.8,2004-01-10
10,-4.5,2004-01-11
11,-8.4,2004-01-12
12,-9.5,2004-01-13
13,-5.8,2004-01-14
14,-6.2,2004-01-15
15,-7.8,2004-01-16
16,-14.4,2004-01-17
17,-16.8,2004-01-18
18,-14.6,2004-01-19
19,-19.0,2004-01-20
20,-13.6,2004-01-21
21,-22.4,2004-01-22
22,-5.7,2004-01-23
23,-2.8,2004-01-24
24,-1.8,2004-01-25
25,-7.5,2004-01-26
26,-7.0,2004-01-27
27,-9.4,2004-01-28
28,-11.1,2004-01-29
29,-12.0,2004-01-30
30,-11.8,2004-01-31
31,-9.6,2004-02-01
32,-13.8,2004-02-02
33,-9.5,2004-02-03
34,-9.3,2004-02-04
35,-9.6,2004-02-05
36,-13.2,2004-02-06
37,-20.3,2004-02-07
38,-21.3,2004-02-08
39,-21.4,2004-02-09
40,-22.3,2004-02-10
41,-26.1,2004-02-11
42,-13.0,2004-02-12
43,-9.3,2004-02-13
44,-4.5,2004-02-14
45,-3.8,2004-02-15
46,-9.3,2004-02-16
47,-11.3,2004-02-17
48,-11.7,2004-02-18
49,-8.3,2004-02-19
50,3.0,2004-02-20
51,-1.2,2004-02-21
52,-7.4,2004-02-22
53,-17.8,2004-02-23
54,-15.4,2004-02-24
55,-11.7,2004-02-25
56,-10.7,2004-02-26
57,-17.0,2004-02-27
58,-23.3,2004-02-28
59,-20.3,2004-02-29
60,-12.4,2004-03-01
61,-13.8,2004-03-02
62,-11.0,2004-03-03
63,-16.1,2004-03-04
64,-12.8,2004-03-05
65,-9.4,2004-03-06
66,-6.7,2004-03-07
67,-12.7,2004-03-08
68,-6.0,2004-03-09
69,-1.2,2004-03-10
70,-2.9,2004-03-11
71,-6.0,2004-03-12
72,-5.3,2004-03-13
73,-5.8,2004-03-14
74,0.1,2004-03-15
75,0.2,2004-03-16
76,-3.1,2004-03-17
77,-1.5,2004-03-18
78,-0.8,2004-03-19
79,0.8,2004-03-20
80,-2.4,2004-03-21
81,-7.0,2004-03-22
82,-6.5,2004-03-23
83,-8.0,2004-03-24
84,-8.8,2004-03-25
85,-9.7,2004-03-26
86,-7.0,2004-03-27
87,-2.9,2004-03-28
88,-6.8,2004-03-29
89,-3.0,2004-03-30
90,-6.5,2004-03-31
91,-10.2,2004-04-01
92,-7.1,2004-04-02
93,-3.8,2004-04-03
94,-5.8,2004-04-04
95,-2.7,2004-04-05
96,-1.9,2004-04-06
97,-0.6,2004-04-07
98,1.0,2004-04-08
99,1.9,2004-04-09
100,-0.2,2004-04-10
101,-2.9,2004-04-11
102,-1.7,2004-04-12
103,-2.1,2004-04-13
104,0.0,2004-04-14
105,1.6,2004-04-15
106,2.5,2004-04-16
107,4.0,2004-04-17
108,3.7,2004-04-18
109,3.2,2004-04-19
110,-3.1,2004-04-20
111,-3.2,2004-04-21
112,-4.0,2004-04-22
113,-2.7,2004-04-23
114,-2.7,2004-04-24
115,-0.2,2004-04-25
116,4.5,2004-04-26
117,4.5,2004-04-27
118,4.4,2004-04-28
119,4.9,2004-04-29
120,5.0,2004-04-30
121,2.7,2004-05-01
122,3.5,2004-05-02
123,9.0,2004-05-03
124,10.2,2004-05-04
125,12.1,2004-05-05
126,12.0,2004-05-06
127,12.5,2004-05-07
128,14.8,2004-05-08
129,5.0,2004-05-09
130,0.1,2004-05-10
131,-0.9,2004-05-11
132,0.0,2004-05-12
133,0.7,2004-05-13
134,2.1,2004-05-14
135,2.0,2004-05-15
136,0.2,2004-05-16
137,3.2,2004-05-17
138,5.0,2004-05-18
139,7.1,2004-05-19
140,7.4,2004-05-20
141,6.4,2004-05-21
142,5.0,2004-05-22
143,3.4,2004-05-23
144,3.4,2004-05-24
145,3.9,2004-05-25
146,5.5,2004-05-26
147,6.3,2004-05-27
148,7.2,2004-05-28
149,5.9,2004-05-29
150,5.9,2004-05-30
151,7.3,2004-05-31
152,6.3,2004-06-01
153,6.4,2004-06-02
154,11.1,2004-06-03
155,8.4,2004-06-04
156,7.5,2004-06-05
157,5.4,2004-06-06
158,4.9,2004-06-07
159,5.9,2004-06-08
160,7.5,2004-06-09
161,9.6,2004-06-10
162,11.8,2004-06-11
163,13.4,2004-06-12
164,11.6,2004-06-13
165,8.6,2004-06-14
166,8.6,2004-06-15
167,5.7,2004-06-16
168,7.3,2004-06-17
169,9.8,2004-06-18
170,11.6,2004-06-19
171,13.9,2004-06-20
172,13.8,2004-06-21
173,15.0,2004-06-22
174,13.5,2004-06-23
175,15.1,2004-06-24
176,12.9,2004-06-25
177,16.8,2004-06-26
178,17.8,2004-06-27
179,12.7,2004-06-28
180,8.9,2004-06-29
