,Average temperature [°C],Date
0,-21.8,2004-01-01
1,-22.2,2004-01-02
2,-20.6,2004-01-03
3,-16.1,2004-01-04
4,-15.5,2004-01-05
5,-15.9,2004-01-06
6,-12.0,2004-01-07
7,-3.6,2004-01-08
8,-5.4,2004-01-09
9,-7.4,2004-01-10
10,-6.0,2004-01-11
11,-7.4,2004-01-12
12,-10.8,2004-01-13
13,-7.5,2004-01-14
14,-6.9,2004-01-15
15,-7.9,2004-01-16
16,-11.7,2004-01-17
17,-12.6,2004-01-18
18,-11.1,2004-01-19
19,-13.6,2004-01-20
20,-11.8,2004-01-21
21,-17.0,2004-01-22
22,-7.9,2004-01-23
23,-4.8,2004-01-24
24,-2.1,2004-01-25
25,-6.7,2004-01-26
26,-8.7,2004-01-27
27,-8.8,2004-01-28
28,-10.9,2004-01-29
29,-11.6,2004-01-30
30,-12.9,2004-01-31
31,-10.5,2004-02-01
32,-14.8,2004-02-02
33,-9.1,2004-02-03
34,-12.3,2004-02-04
35,-8.5,2004-02-05
36,-13.3,2004-02-06
37,-23.5,2004-02-07
38,-23.9,2004-02-08
39,-16.4,2004-02-09
40,-18.7,2004-02-10
41,-16.9,2004-02-11
42,-12.5,2004-02-12
43,-7.3,2004-02-13
44,-4.0,2004-02-14
45,-4.6,2004-02-15
46,-8.1,2004-02-16
47,-10.8,2004-02-17
48,-10.8,2004-02-18
49,-8.3,2004-02-19
50,1.6,2004-02-20
51,-3.5,2004-02-21
52,-7.6,2004-02-22
53,-14.2,2004-02-23
54,-16.6,2004-02-24
55,-11.4,2004-02-25
56,-12.7,2004-02-26
57,-15.2,2004-02-27
58,-18.8,2004-02-28
59,-18.6,2004-02-29
60,-11.8,2004-03-01
61,-8.1,2004-03-02
62,-9.5,2004-03-03
63,-11.9,2004-03-04
64,-11.4,2004-03-05
65,-7.1,2004-03-06
66,-6.8,2004-03-07
67,-7.1,2004-03-08
68,-3.9,2004-03-09
69,1.6,2004-03-10
70,0.4,2004-03-11
71,-4.6,2004-03-12
72,-4.0,2004-03-13
73,-6.0,2004-03-14
74,-1.3,2004-03-15
75,-0.9,2004-03-16
76,-3.6,2004-03-17
77,-3.2,2004-03-18
78,-1.6,2004-03-19
79,-0.4,2004-03-20
80,-3.9,2004-03-21
81,-10.5,2004-03-22
82,-7.5,2004-03-23
83,-8.0,2004-03-24
84,-9.9,2004-03-25
85,-10.5,2004-03-26
86,-9.0,2004-03-27
87,-6.4,2004-03-28
88,-8.3,2004-03-29
89,-5.2,2004-03-30
90,-7.0,2004-03-31
91,-8.4,2004-04-01
92,-5.5,2004-04-02
93,-3.9,2004-04-03
94,-1.9,2004-04-04
95,-0.3,2004-04-05
96,1.3,2004-04-06
97,2.0,2004-04-07
98,2.3,2004-04-08
99,1.4,2004-04-09
100,-0.8,2004-04-10
101,-2.8,2004-04-11
102,-0.6,2004-04-12
103,-1.8,2004-04-13
104,-1.1,2004-04-14
105,1.1,2004-04-15
106,1.7,2004-04-16
107,2.8,2004-04-17
108,2.8,2004-04-18
109,0.9,2004-04-19
110,-4.9,2004-04-20
111,-4.7,2004-04-21
112,-3.6,2004-04-22
113,-3.1,2004-04-23
114,-3.2,2004-04-24
115,-0.4,2004-04-25
116,3.3,2004-04-26
117,3.7,2004-04-27
118,5.1,2004-04-28
119,6.3,2004-04-29
120,3.1,2004-04-30
121,1.1,2004-05-01
122,1.9,2004-05-02
123,6.7,2004-05-03
124,9.6,2004-05-04
125,10.9,2004-05-05
126,13.6,2004-05-06
127,13.6,2004-05-07
128,15.9,2004-05-08
129,1.5,2004-05-09
130,-1.2,2004-05-10
131,-2.2,2004-05-11
132,-2.0,2004-05-12
133,-1.1,2004-05-13
134,-0.5,2004-05-14
135,0.5,2004-05-15
136,0.3,2004-05-16
