,Average temperature [°C],Date
0,-24.9,2004-01-01
1,-19.2,2004-01-02
2,-13,2004-01-03
3,-13.9,2004-01-04
4,-13.5,2004-01-05
5,-19.4,2004-01-06
6,-10.6,2004-01-07
7,-5.6,2004-01-08
8,-5.2,2004-01-09
9,-8.3,2004-01-10
10,-13.1,2004-01-11
11,-13.9,2004-01-12
12,-6.9,2004-01-13
13,-5.9,2004-01-14
14,-8.8,2004-01-15
15,-10.3,2004-01-16
16,-11,2004-01-17
17,-9.5,2004-01-18
18,-12,2004-01-19
19,-16.4,2004-01-20
20,-13.9,2004-01-21
21,-18.1,2004-01-22
22,-13.7,2004-01-23
23,-2.4,2004-01-24
24,-4.7,2004-01-25
25,-9.7,2004-01-26
26,-7.1,2004-01-27
27,-8,2004-01-28
28,-7.7,2004-01-29
29,-8.1,2004-01-30
30,-7.3,2004-01-31
31,-4.7,2004-02-01
32,-9.5,2004-02-02
33,-6,2004-02-03
34,-1.8,2004-02-04
35,-5.3,2004-02-05
36,-10,2004-02-06
37,-13,2004-02-07
38,-22.4,2004-02-08
39,-18.7,2004-02-09
40,-18.8,2004-02-10
41,-21.8,2004-02-11
42,-19.3,2004-02-12
43,-6.5,2004-02-13
44,-6,2004-02-14
45,-4.1,2004-02-15
46,-9.7,2004-02-16
47,-13.7,2004-02-17
48,-18.1,2004-02-18
49,-9.7,2004-02-19
50,-0.9,2004-02-20
51,2,2004-02-21
52,-2.6,2004-02-22
53,-9.8,2004-02-23
54,-15,2004-02-24
55,-8.6,2004-02-25
56,-5.5,2004-02-26
57,-3.4,2004-02-27
58,-7.6,2004-02-28
59,-10.5,2004-02-29
60,-7,2004-03-01
61,-12.9,2004-03-02
62,-9.8,2004-03-03
63,-8.5,2004-03-04
64,-9,2004-03-05
65,-11.1,2004-03-06
66,-4.6,2004-03-07
67,-4.4,2004-03-08
68,-7.5,2004-03-09
69,-2.3,2004-03-10
70,-3.4,2004-03-11
71,-2.4,2004-03-12
72,-6.6,2004-03-13
73,-3.8,2004-03-14
74,0.6,2004-03-15
75,1,2004-03-16
76,0,2004-03-17
77,-0.6,2004-03-18
78,-0.2,2004-03-19
79,1.1,2004-03-20
80,-0.3,2004-03-21
81,-3.4,2004-03-22
82,-3.8,2004-03-23
83,-3.9,2004-03-24
